periodo,banco_original,banco_normalizado,indicador,valor,unidad,archivo_origen,hoja_origen,fila_origen_excel,columna_origen_excel
2015-02,BP D-MIRO S.A.,BP D-MIRO S.A.,indice_capitalizacion_neto,14.48461470166627,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,27
2015-02,BP BANCODESARROLLO,BP BANCODESARROLLO,indice_capitalizacion_neto,9.586393966785108,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,75,28
2015-02,BP GUAYAQUIL,BP GUAYAQUIL,suficiencia_patrimonial,172.0868572577686,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,4
2015-02,BP PACIFICO,BP PACIFICO,suficiencia_patrimonial,351.56882116458183,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,5
2015-02,BP PICHINCHA,BP PICHINCHA,suficiencia_patrimonial,2123.152731449771,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,6
2015-02,BP PRODUBANCO,BP PRODUBANCO,suficiencia_patrimonial,241.16317524283036,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,7
2015-02,BP AUSTRO,BP AUSTRO,suficiencia_patrimonial,166.8899536511469,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,9
2015-02,BP BOLIVARIANO,BP BOLIVARIANO,suficiencia_patrimonial,271.1047356098097,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,10
2015-02,BP SOLIDARIO,BP SOLIDARIO,suficiencia_patrimonial,329.56025830149406,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,11
2015-02,BP GENERAL RUMIÑAHUI,BP GENERAL RUMINAHUI,suficiencia_patrimonial,-774.2993415565148,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,12
2015-02,BP INTERNACIONAL,BP INTERNACIONAL,suficiencia_patrimonial,525.593273411859,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,13
2015-02,BP MACHALA,BP MACHALA,suficiencia_patrimonial,135.24398951390256,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,14
2015-02,BP CITIBANK,BP CITIBANK,suficiencia_patrimonial,-458.2795601070656,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,15
2015-02,BP LOJA,BP LOJA,suficiencia_patrimonial,1875.9972667364423,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,16
2015-02,BP PROCREDIT,BP PROCREDIT,suficiencia_patrimonial,236.60037589180254,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,17
2015-02,BP AMAZONAS,BP AMAZONAS,suficiencia_patrimonial,186.98831694544972,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,19
2015-02,BP COFIEC,BP COFIEC,suficiencia_patrimonial,49.81124315358289,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,20
2015-02,BP COMERCIAL DE MANABI,BP COMERCIAL DE MANABI,suficiencia_patrimonial,133.26032897386207,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,21
2015-02,BP LITORAL,BP LITORAL,suficiencia_patrimonial,249.63709343469543,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,22
2015-02,BP COOPNACIONAL,BP COOPNACIONAL,suficiencia_patrimonial,2837.3428355786714,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,23
2015-02,BP CAPITAL,BP CAPITAL,suficiencia_patrimonial,85.92139814826506,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,24
2015-02,BP FINCA,BP FINCA,suficiencia_patrimonial,283.85339002218404,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,25
2015-02,BP DELBANK,BP DELBANK,suficiencia_patrimonial,351.8588692421743,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,26
2015-02,BP D-MIRO S.A.,BP D-MIRO S.A.,suficiencia_patrimonial,357.2857297384712,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,27
2015-02,BP BANCODESARROLLO,BP BANCODESARROLLO,suficiencia_patrimonial,219.91700001622186,porcentaje_decimal,BOL BANCOS PRIVADOS 28022015 act.xlsx,INDICADORES,11,28
2026-03,BP GUAYAQUIL,BP GUAYAQUIL,activos_total,10455869.40551,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,4
2026-03,BP PACIFICO,BP PACIFICO,activos_total,10241398.01567,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,5
2026-03,BP PICHINCHA,BP PICHINCHA,activos_total,22343920.0077,miles_usd,FINANCIERO MENSUAL BANCA PRIVADA 2026_03.xlsx,BALANCE,746,6
